claim_id,claim_date,sale_id,repair_status
117,2022-04-15,4860,Paid Repaired
118,2024-06-27,644594,Paid Repaired
119,2025-01-13,891545,Warranty Void
120,2022-09-19,840064,Warranty Void
121,2022-11-17,678700,Paid Repaired
122,2022-05-17,610818,Paid Repaired
123,2023-05-09,231291,Paid Repaired
124,2024-10-25,802467,Paid Repaired
125,2022-11-07,326641,Paid Repaired
126,2022-09-22,313906,Warranty Void
127,2023-06-18,515229,Paid Repaired
128,2022-08-26,627955,Paid Repaired
129,2022-07-27,680004,Paid Repaired
130,2024-06-25,750968,Paid Repaired
131,2022-05-13,114242,Warranty Void
132,2025-02-07,307609,Warranty Void
133,2023-12-30,849604,Paid Repaired
134,2023-12-29,752896,Paid Repaired
135,2024-04-16,71526,Paid Repaired
136,2022-05-15,93181,Warranty Void
137,2023-03-16,62122,Warranty Void
138,2025-01-31,142308,Paid Repaired
139,2024-08-09,695788,Paid Repaired
140,2022-07-02,495604,Paid Repaired
141,2023-06-07,218612,Warranty Void
142,2024-02-19,214734,Paid Repaired
143,2023-05-06,257916,Paid Repaired
144,2022-12-07,251369,Warranty Void
145,2022-03-17,472225,Warranty Void
146,2024-04-11,639123,Warranty Void
147,2023-09-04,168640,Paid Repaired
148,2024-01-03,522936,Paid Repaired
149,2023-06-09,29869,Paid Repaired
150,2024-03-21,845421,Paid Repaired
151,2023-01-08,216546,Paid Repaired
152,2023-06-05,709624,Warranty Void
153,2024-11-19,347376,Paid Repaired
154,2023-12-25,541039,Paid Repaired
155,2022-12-30,316566,Paid Repaired
156,2024-09-08,25000,Paid Repaired
157,2024-01-05,469407,Paid Repaired
158,2024-08-09,888356,Warranty Void
159,2023-09-16,208835,Warranty Void
160,2024-09-06,53520,Paid Repaired
161,2023-06-13,527498,Paid Repaired
162,2024-07-02,34215,Paid Repaired
163,2022-05-16,618601,Paid Repaired
164,2025-01-29,29233,Paid Repaired
165,2022-03-29,384255,Paid Repaired
166,2023-06-01,339953,Paid Repaired
167,2023-05-02,54450,Paid Repaired
168,2024-03-18,552478,Warranty Void
169,2022-03-17,610235,Paid Repaired
170,2024-01-18,193811,Paid Repaired
171,2023-07-03,843225,Paid Repaired
172,2022-06-19,285597,Paid Repaired
173,2023-11-10,142076,Paid Repaired
174,2024-06-17,831764,Paid Repaired
175,2024-10-08,829896,Warranty Void
176,2024-03-30,620437,Paid Repaired
177,2024-06-15,150093,Paid Repaired
178,2023-05-19,291992,Paid Repaired
179,2022-07-20,56079,Paid Repaired
180,2024-05-16,879756,Warranty Void
181,2022-12-29,239510,Paid Repaired
182,2024-07-17,564107,Paid Repaired
183,2023-05-08,150684,Paid Repaired
184,2023-02-11,591308,Paid Repaired
185,2024-08-29,706148,Paid Repaired
186,2024-10-20,101553,Paid Repaired
187,2024-08-14,260304,Paid Repaired
188,2024-11-27,182955,Paid Repaired
189,2024-05-25,281828,Paid Repaired
190,2024-09-01,843061,Paid Repaired
191,2025-01-10,731478,Warranty Void
192,2022-06-14,460776,Paid Repaired
193,2024-06-20,527838,Warranty Void
194,2022-05-24,762748,Paid Repaired
195,2023-10-25,97084,Paid Repaired
196,2023-01-28,786652,Paid Repaired
197,2022-09-11,564963,Paid Repaired
198,2025-01-27,6049,Paid Repaired
199,2023-06-17,269827,Paid Repaired
200,2023-03-24,395931,Paid Repaired
201,2024-08-20,894497,Paid Repaired
202,2023-05-20,49630,Paid Repaired
203,2022-06-02,817144,Paid Repaired
204,2023-12-24,883551,Paid Repaired
205,2023-01-09,351050,Paid Repaired
206,2024-05-06,566123,Paid Repaired
207,2023-03-17,839510,Warranty Void
208,2022-08-01,319027,Warranty Void
209,2024-02-08,362571,Paid Repaired
210,2023-06-06,333410,Paid Repaired
211,2024-09-01,294802,Paid Repaired
212,2024-08-26,368069,Warranty Void
213,2023-12-12,520355,Warranty Void
214,2023-12-01,767174,Warranty Void
215,2023-04-18,602298,Warranty Void
216,2023-02-21,876273,Paid Repaired
217,2024-05-26,736169,Paid Repaired
218,2022-12-08,297533,Paid Repaired
219,2022-11-22,130589,Paid Repaired
220,2024-02-08,709611,Paid Repaired
221,2022-12-17,712806,Paid Repaired
222,2022-03-22,460491,Paid Repaired
223,2022-09-29,457506,Warranty Void
224,2023-10-02,190302,Warranty Void
225,2022-11-23,4053,Paid Repaired
226,2024-05-13,80565,Paid Repaired
227,2024-11-24,7800,Paid Repaired
228,2023-09-01,7560,Paid Repaired
229,2024-12-10,350228,Paid Repaired
230,2023-06-09,686238,Warranty Void
231,2023-04-01,82089,Paid Repaired
232,2023-04-12,522101,Paid Repaired
233,2024-11-11,25267,Paid Repaired
234,2023-12-11,694970,Paid Repaired
235,2024-10-31,20,Paid Repaired
236,2022-07-27,51963,Paid Repaired
237,2022-08-26,852791,Paid Repaired
238,2022-12-12,769619,Paid Repaired
239,2024-06-16,5570,Paid Repaired
240,2022-08-07,436117,Paid Repaired
241,2023-03-18,360152,Paid Repaired
242,2024-01-22,606146,Paid Repaired
243,2022-03-06,341550,Paid Repaired
244,2023-12-22,550056,Paid Repaired
245,2023-06-03,865742,Warranty Void
246,2023-07-27,114420,Paid Repaired
247,2023-08-06,156378,Paid Repaired
248,2022-08-28,717196,Paid Repaired
249,2025-02-27,364184,Paid Repaired
250,2024-05-29,446233,Warranty Void
251,2022-11-24,677651,Paid Repaired
252,2024-11-27,834938,Paid Repaired
253,2022-11-17,239429,Paid Repaired
254,2024-01-31,134665,Paid Repaired
255,2025-01-04,267398,Warranty Void
256,2023-04-27,868165,Paid Repaired
257,2025-02-17,182895,Paid Repaired
258,2024-08-18,133427,Paid Repaired
259,2024-10-16,503601,Paid Repaired
260,2022-03-10,245281,Paid Repaired
261,2024-11-03,835425,Paid Repaired
262,2025-01-10,502023,Paid Repaired
263,2022-08-23,169085,Warranty Void
264,2024-08-11,426256,Paid Repaired
265,2024-05-04,149421,Paid Repaired
266,2023-05-03,735011,Paid Repaired
267,2023-01-09,196894,Paid Repaired
268,2024-04-14,628910,Paid Repaired
269,2022-06-30,223699,Paid Repaired
270,2022-12-16,503053,Warranty Void
271,2023-03-10,615239,Warranty Void
272,2023-09-14,832172,Warranty Void
273,2023-06-10,547060,Paid Repaired
274,2022-07-09,834025,Paid Repaired
275,2024-12-16,103402,Paid Repaired
276,2023-12-29,866291,Warranty Void
277,2024-06-14,636797,Paid Repaired
278,2023-07-26,390450,Paid Repaired
279,2023-01-21,57436,Warranty Void
280,2024-01-28,348493,Paid Repaired
281,2023-02-04,814905,Paid Repaired
282,2024-02-25,101420,Paid Repaired
283,2023-10-11,2660,Paid Repaired
284,2022-06-22,157826,Paid Repaired
285,2022-11-13,123669,Paid Repaired
286,2024-07-14,772671,Paid Repaired
287,2023-08-28,308186,Paid Repaired
288,2024-11-15,554483,Paid Repaired
289,2024-01-11,335382,Warranty Void
290,2025-02-21,580416,Paid Repaired
291,2024-01-06,575748,Paid Repaired
292,2024-06-22,382651,Paid Repaired
293,2024-10-09,575695,Paid Repaired
294,2022-11-17,661555,Paid Repaired
295,2023-06-26,499482,Paid Repaired
296,2022-08-25,127146,Warranty Void
297,2023-07-26,820597,Paid Repaired
298,2024-07-03,674289,Paid Repaired
299,2023-10-06,738488,Warranty Void
300,2023-05-22,417323,Paid Repaired
301,2023-06-10,894783,Paid Repaired
302,2023-06-18,287215,Paid Repaired
303,2023-02-02,118195,Warranty Void
304,2024-11-27,379767,Paid Repaired
305,2024-05-07,68143,Paid Repaired
306,2024-12-24,237730,Paid Repaired
307,2024-01-01,34435,Paid Repaired
308,2024-03-31,675616,Paid Repaired
309,2023-04-20,415423,Warranty Void
310,2023-06-26,101622,Paid Repaired
311,2022-08-09,549281,Warranty Void
312,2024-03-15,872128,Warranty Void
313,2022-03-31,513235,Paid Repaired
314,2022-04-15,577850,Paid Repaired
315,2023-07-28,636503,Paid Repaired
316,2023-02-18,473830,Paid Repaired
317,2022-12-05,376351,Paid Repaired
318,2025-02-28,360227,Warranty Void
319,2022-07-17,799119,Paid Repaired
320,2025-02-05,590118,Paid Repaired
321,2022-11-30,235092,Paid Repaired
322,2022-03-26,735304,Paid Repaired
323,2024-01-11,284871,Paid Repaired
324,2023-12-16,716972,Paid Repaired
325,2022-07-13,696838,Paid Repaired
326,2023-12-28,80696,Paid Repaired
327,2023-03-17,852715,Warranty Void
328,2022-08-07,605576,Paid Repaired
329,2024-02-14,97272,Paid Repaired
330,2024-11-27,359055,Paid Repaired
331,2024-02-13,91422,Paid Repaired
332,2025-01-25,479954,Warranty Void
333,2024-10-17,168879,Paid Repaired
334,2023-06-13,608856,Paid Repaired
335,2022-05-12,296670,Warranty Void
336,2023-08-23,509736,Paid Repaired
337,2022-03-23,663239,Paid Repaired
338,2024-03-25,660662,Paid Repaired
339,2024-09-25,632117,Paid Repaired
340,2022-08-15,556881,Paid Repaired
341,2022-03-07,858997,Paid Repaired
342,2024-12-02,89120,Paid Repaired
343,2024-01-06,394381,Paid Repaired
344,2024-09-24,436060,Warranty Void
345,2023-09-11,821205,Paid Repaired
346,2024-12-20,117908,Paid Repaired
347,2022-08-28,282643,Paid Repaired
348,2024-09-24,278975,Paid Repaired
349,2024-06-10,76893,Paid Repaired
350,2022-08-17,679122,Paid Repaired
351,2022-07-07,1212,Paid Repaired
352,2023-11-18,852806,Paid Repaired
353,2024-12-01,166688,Paid Repaired
354,2022-04-28,886706,Paid Repaired
355,2022-03-14,229441,Warranty Void
356,2022-05-11,59418,Paid Repaired
357,2023-11-10,694625,Warranty Void
358,2023-03-29,19942,Paid Repaired
359,2022-06-27,737933,Paid Repaired
360,2023-08-07,524458,Paid Repaired
361,2023-03-26,2830,Warranty Void
362,2024-08-09,608943,Paid Repaired
363,2022-09-25,65941,Paid Repaired
364,2023-10-06,724085,Paid Repaired
365,2025-02-03,648104,Paid Repaired
366,2024-06-06,616204,Paid Repaired
367,2024-12-13,631141,Warranty Void
368,2025-02-19,293108,Paid Repaired
369,2022-05-25,597298,Paid Repaired
370,2022-10-04,79538,Warranty Void
371,2023-06-28,728297,Paid Repaired
372,2022-10-18,136378,Paid Repaired
373,2024-10-12,737812,Paid Repaired
374,2024-12-06,590558,Paid Repaired
375,2022-03-29,98032,Warranty Void
376,2025-01-14,338250,Paid Repaired
377,2022-09-22,164246,Paid Repaired
378,2023-06-09,596755,Paid Repaired
379,2023-08-10,613025,Warranty Void
380,2024-01-07,326446,Paid Repaired
381,2024-03-13,29095,Paid Repaired
382,2022-05-13,439134,Warranty Void
383,2024-07-06,97771,Paid Repaired
384,2023-12-12,156975,Paid Repaired
385,2022-10-02,738630,Paid Repaired
386,2025-02-12,317057,Paid Repaired
387,2022-10-07,418658,Paid Repaired
388,2023-09-20,593875,Paid Repaired
389,2025-01-07,3417,Paid Repaired
390,2023-05-15,566970,Paid Repaired
391,2023-04-01,167536,Paid Repaired
392,2022-05-03,777581,Paid Repaired
393,2024-12-27,161994,Paid Repaired
394,2024-05-05,12368,Paid Repaired
395,2024-10-22,579980,Paid Repaired
396,2022-08-31,653982,Paid Repaired
397,2022-07-21,622538,Paid Repaired
398,2023-12-31,824088,Warranty Void
399,2023-01-26,518179,Paid Repaired
400,2024-08-05,70317,Warranty Void
401,2023-04-12,518918,Paid Repaired
402,2022-10-29,368053,Paid Repaired
403,2023-05-15,113796,Warranty Void
404,2023-09-20,409799,Paid Repaired
405,2024-06-04,269793,Paid Repaired
406,2023-10-17,130323,Paid Repaired
407,2024-02-01,178507,Paid Repaired
408,2023-11-08,190639,Paid Repaired
409,2022-09-30,884213,Warranty Void
410,2024-04-14,793564,Paid Repaired
411,2024-02-19,803309,Paid Repaired
412,2023-08-02,177742,Paid Repaired
413,2023-04-20,364601,Paid Repaired
414,2024-05-15,215420,Paid Repaired
415,2025-02-14,576942,Warranty Void
416,2023-09-03,541528,Warranty Void
417,2024-03-11,202879,Warranty Void
418,2024-04-28,90291,Warranty Void
419,2024-03-22,764579,Warranty Void
420,2023-12-28,441786,Paid Repaired
421,2023-11-24,323725,Warranty Void
422,2022-11-27,571285,Paid Repaired
423,2023-06-02,436869,Paid Repaired
424,2022-09-11,321987,Paid Repaired
425,2022-04-21,207940,Paid Repaired
426,2023-11-02,182095,Paid Repaired
427,2024-08-20,555254,Paid Repaired
428,2025-02-19,509582,Paid Repaired
429,2022-12-15,29841,Paid Repaired
430,2024-08-04,468938,Paid Repaired
431,2023-12-17,674852,Paid Repaired
432,2022-05-08,800968,Warranty Void
433,2024-02-17,590308,Paid Repaired
434,2022-07-07,337520,Paid Repaired
435,2023-09-08,743833,Paid Repaired
436,2022-03-24,419580,Paid Repaired
437,2022-10-19,521939,Paid Repaired
438,2022-08-17,41331,Paid Repaired
439,2022-07-13,563351,Paid Repaired
440,2023-05-05,673350,Paid Repaired
441,2023-03-08,760777,Paid Repaired
442,2024-04-06,517696,Paid Repaired
443,2023-07-20,93850,Paid Repaired
444,2023-11-16,124154,Paid Repaired
445,2024-05-08,491224,Paid Repaired
446,2023-11-18,759608,Paid Repaired
447,2023-08-25,153087,Paid Repaired
448,2025-01-10,184126,Paid Repaired
449,2023-07-16,701511,Paid Repaired
450,2023-03-21,530813,Warranty Void
451,2023-09-26,112053,Paid Repaired
452,2022-10-19,316295,Paid Repaired
453,2022-08-13,147558,Paid Repaired
454,2023-11-08,54461,Warranty Void
455,2023-09-08,114358,Paid Repaired
456,2022-12-13,69661,Paid Repaired
457,2024-07-18,304572,Paid Repaired
458,2022-03-20,360997,Paid Repaired
459,2024-06-24,655922,Paid Repaired
460,2023-04-25,852673,Paid Repaired
461,2024-04-23,26395,Paid Repaired
462,2023-09-14,773663,Paid Repaired
463,2024-09-19,710223,Warranty Void
464,2024-11-11,267180,Paid Repaired
465,2023-02-18,64342,Warranty Void
466,2024-02-24,200245,Warranty Void
467,2023-10-29,105,Warranty Void
468,2024-06-06,211681,Paid Repaired
469,2024-06-03,494055,Paid Repaired
470,2022-12-04,842471,Paid Repaired
471,2023-03-21,873313,Warranty Void
472,2025-01-29,259170,Warranty Void
473,2022-11-13,264739,Paid Repaired
474,2023-12-22,191112,Warranty Void
475,2022-11-07,677352,Paid Repaired
476,2024-08-07,235116,Paid Repaired
477,2024-07-02,232403,Paid Repaired
478,2025-02-27,1173,Paid Repaired
479,2022-04-01,826242,Paid Repaired
480,2022-10-28,299571,Paid Repaired
481,2023-02-15,885203,Warranty Void
482,2025-01-22,277875,Warranty Void
483,2022-04-06,799606,Warranty Void
484,2023-07-29,313072,Paid Repaired
485,2023-04-06,734160,Paid Repaired
486,2022-03-31,784027,Paid Repaired
487,2024-07-09,303239,Paid Repaired
488,2024-01-16,480936,Paid Repaired
489,2024-11-01,590623,Paid Repaired
490,2023-02-14,309409,Paid Repaired
491,2023-08-21,144017,Paid Repaired
492,2022-10-11,456869,Warranty Void
493,2023-06-12,531375,Paid Repaired
494,2022-06-19,868756,Paid Repaired
495,2024-07-31,852471,Paid Repaired
496,2024-02-27,611693,Warranty Void
497,2023-12-30,627013,Paid Repaired
498,2022-03-19,696202,Paid Repaired
499,2024-02-29,283137,Warranty Void
500,2025-01-11,852365,Warranty Void
501,2025-02-21,123532,Paid Repaired
502,2023-12-01,830072,Paid Repaired
503,2023-05-13,383919,Paid Repaired
504,2022-12-26,324320,Paid Repaired
505,2023-10-28,545015,Paid Repaired
506,2024-10-18,693732,Paid Repaired
507,2023-08-25,128057,Paid Repaired
508,2023-02-08,464365,Paid Repaired
509,2024-07-17,233399,Paid Repaired
510,2022-03-18,451342,Warranty Void
511,2023-03-18,560060,Warranty Void
512,2023-01-30,357495,Paid Repaired
513,2023-06-11,652525,Warranty Void
514,2022-10-09,104329,Paid Repaired
515,2022-07-02,88263,Paid Repaired
516,2023-09-09,408171,Paid Repaired
517,2024-05-10,125588,Paid Repaired
518,2024-07-15,442914,Paid Repaired
519,2023-09-16,81662,Paid Repaired
520,2023-05-22,185232,Paid Repaired
521,2024-09-10,110460,Paid Repaired
522,2023-04-07,724614,Paid Repaired
523,2023-10-11,827690,Paid Repaired
524,2022-11-10,134555,Paid Repaired
525,2022-10-10,239604,Paid Repaired
526,2024-07-12,745535,Warranty Void
527,2023-04-21,656828,Warranty Void
528,2024-05-21,811246,Paid Repaired
529,2023-06-18,144852,Warranty Void
530,2024-04-09,72795,Paid Repaired
531,2024-10-20,425715,Paid Repaired
532,2023-01-14,221319,Paid Repaired
533,2022-04-26,693744,Warranty Void
534,2024-02-16,83643,Paid Repaired
535,2024-01-20,1974,Paid Repaired
536,2023-07-30,310981,Paid Repaired
537,2023-10-08,92809,Paid Repaired
538,2023-03-12,706685,Paid Repaired
539,2024-05-04,414976,Warranty Void
540,2023-08-16,245516,Paid Repaired
541,2023-04-14,825796,Paid Repaired
542,2022-06-30,776518,Warranty Void
543,2022-09-24,745318,Paid Repaired
544,2024-07-10,306983,Paid Repaired
545,2022-04-14,823272,Paid Repaired
546,2023-07-22,519102,Paid Repaired
547,2023-04-03,725648,Paid Repaired
548,2023-05-16,83899,Paid Repaired
549,2023-05-24,834627,Warranty Void
550,2024-11-12,714652,Paid Repaired
551,2024-10-12,145971,Paid Repaired
552,2024-04-23,393239,Warranty Void
553,2022-11-05,334533,Paid Repaired
554,2023-07-27,107657,Warranty Void
555,2023-03-02,534342,Paid Repaired
556,2025-02-23,286155,Warranty Void
557,2024-07-01,591576,Paid Repaired
558,2023-10-23,129886,Paid Repaired
559,2022-10-06,204977,Warranty Void
560,2023-01-09,660935,Paid Repaired
561,2025-01-08,730731,Warranty Void
562,2022-10-13,193506,Paid Repaired
563,2023-10-11,387669,Paid Repaired
564,2022-05-08,331981,Paid Repaired
565,2022-03-01,668267,Paid Repaired
566,2024-10-24,30452,Paid Repaired
567,2024-06-17,892443,Paid Repaired
568,2022-12-27,577353,Warranty Void
569,2023-07-16,151850,Warranty Void
570,2023-11-30,473559,Paid Repaired
571,2024-06-22,516620,Paid Repaired
572,2025-02-26,221295,Paid Repaired
573,2022-10-11,407115,Warranty Void
574,2024-10-25,551597,Paid Repaired
575,2023-02-04,802035,Warranty Void
576,2023-10-03,256402,Paid Repaired
577,2023-01-23,583239,Warranty Void
578,2023-08-24,722626,Paid Repaired
579,2024-02-05,230655,Paid Repaired
580,2022-11-30,391625,Paid Repaired
581,2023-01-17,233919,Paid Repaired
582,2024-04-16,546340,Paid Repaired
583,2022-11-06,196843,Paid Repaired
584,2022-11-13,315323,Paid Repaired
585,2022-03-05,303813,Paid Repaired
586,2023-08-21,491059,Warranty Void
587,2023-05-06,514750,Warranty Void
588,2023-09-27,771966,Paid Repaired
589,2022-05-01,482670,Warranty Void
590,2023-10-01,430547,Paid Repaired
591,2025-01-08,28362,Paid Repaired
592,2023-07-17,494699,Paid Repaired
593,2024-09-22,456274,Paid Repaired
594,2024-06-26,509648,Paid Repaired
595,2025-02-26,555340,Paid Repaired
596,2024-05-01,590555,Paid Repaired
597,2023-02-20,259711,Paid Repaired
598,2022-08-14,765817,Warranty Void
599,2024-08-29,48746,Paid Repaired
600,2023-04-25,664901,Paid Repaired
601,2024-01-09,414943,Paid Repaired
602,2024-10-30,120204,Paid Repaired
603,2023-07-26,764309,Paid Repaired
604,2024-07-15,138008,Paid Repaired
605,2024-06-09,187775,Warranty Void
606,2024-10-10,566566,Paid Repaired
607,2023-04-14,31888,Paid Repaired
608,2024-06-12,680549,Paid Repaired
609,2023-12-11,364657,Paid Repaired
610,2022-04-07,398437,Paid Repaired
611,2024-09-04,260991,Paid Repaired
612,2023-01-26,841692,Paid Repaired
613,2024-12-21,823981,Warranty Void
614,2023-08-13,300484,Paid Repaired
615,2023-12-07,801197,Paid Repaired
616,2024-03-10,693610,Paid Repaired
617,2022-10-29,316204,Paid Repaired
618,2023-12-12,630975,Paid Repaired
619,2022-04-19,684120,Paid Repaired
620,2023-12-30,307252,Warranty Void
621,2022-11-24,538346,Paid Repaired
622,2025-02-15,510930,Warranty Void
623,2024-07-17,145110,Paid Repaired
624,2022-03-03,746683,Warranty Void
625,2023-09-19,47626,Paid Repaired
626,2022-11-16,483688,Warranty Void
627,2025-01-06,50191,Paid Repaired
628,2022-09-25,313990,Paid Repaired
629,2023-10-24,686012,Paid Repaired
630,2022-10-06,232992,Paid Repaired
631,2022-06-25,848719,Paid Repaired
632,2023-03-24,505084,Paid Repaired
633,2022-05-07,160658,Paid Repaired
634,2023-08-29,36829,Paid Repaired
635,2024-05-21,806063,Warranty Void
636,2025-01-05,179954,Paid Repaired
637,2023-02-23,206793,Paid Repaired
638,2023-12-11,179189,Warranty Void
639,2024-01-27,629643,Paid Repaired
640,2024-08-24,470429,Paid Repaired
641,2023-05-30,884567,Paid Repaired
642,2022-12-07,484886,Paid Repaired
643,2024-03-04,166774,Paid Repaired
644,2022-10-14,607453,Paid Repaired
645,2024-11-26,213961,Warranty Void
646,2024-10-03,381591,Paid Repaired
647,2023-07-24,464303,Paid Repaired
648,2024-05-31,409974,Paid Repaired
649,2022-03-08,63263,Paid Repaired
650,2022-05-29,83019,Warranty Void
651,2024-08-17,758174,Paid Repaired
652,2022-08-16,686243,Warranty Void
653,2022-08-03,284831,Paid Repaired
654,2023-08-23,32533,Paid Repaired
655,2024-11-20,829853,Paid Repaired
656,2024-02-09,805227,Paid Repaired
657,2023-05-05,593707,Warranty Void
658,2023-09-16,606509,Warranty Void
659,2023-04-15,514583,Paid Repaired
660,2024-01-13,408145,Paid Repaired
661,2022-11-16,246722,Paid Repaired
662,2023-11-25,595420,Warranty Void
663,2022-12-01,817909,Paid Repaired
664,2024-12-31,487543,Paid Repaired
665,2023-01-24,658144,Paid Repaired
666,2023-04-13,349692,Paid Repaired
667,2023-08-01,216898,Paid Repaired
668,2022-09-25,282137,Paid Repaired
669,2023-02-08,874150,Paid Repaired
670,2024-02-09,515300,Paid Repaired
671,2024-12-11,191952,Paid Repaired
672,2024-07-26,366327,Paid Repaired
673,2022-11-10,426884,Paid Repaired
674,2024-07-02,620969,Warranty Void
675,2023-10-27,740746,Paid Repaired
676,2022-11-16,512674,Paid Repaired
677,2022-09-29,418961,Paid Repaired
678,2023-12-08,346168,Paid Repaired
679,2024-04-02,263056,Paid Repaired
680,2022-06-02,359680,Paid Repaired
681,2022-10-05,533974,Warranty Void
682,2024-09-20,301155,Paid Repaired
683,2023-07-08,870219,Paid Repaired
684,2024-11-17,623263,Paid Repaired
685,2023-09-11,879100,Paid Repaired
686,2022-09-03,462205,Paid Repaired
687,2023-12-01,114156,Paid Repaired
688,2024-02-03,674808,Paid Repaired
689,2022-04-18,820225,Paid Repaired
690,2024-09-20,451262,Warranty Void
691,2023-01-31,799117,Paid Repaired
692,2022-05-07,338164,Paid Repaired
693,2024-09-25,600916,Paid Repaired
694,2023-03-12,245180,Paid Repaired
695,2024-06-23,63405,Warranty Void
696,2023-03-19,279196,Warranty Void
697,2024-07-10,125514,Paid Repaired
698,2023-11-04,750339,Paid Repaired
699,2022-12-16,5032,Warranty Void
700,2022-08-16,224169,Paid Repaired
701,2022-06-26,525531,Warranty Void
702,2022-03-22,657520,Paid Repaired
703,2024-09-14,471060,Paid Repaired
704,2024-11-30,126399,Paid Repaired
705,2023-10-04,14670,Paid Repaired
